Date,China,US,United_Kingdom,Italy,China_new_daily_cases,US_new_daily_cases,United_Kingdom_new_daily_cases,Italy_new_daily_cases
19/4/2020,83805,761933,126394,178972,18,25689,3860,3047
20/4/2020,83817,790353,131260,181228,12,28420,4866,2256
21/4/2020,83853,816413,136035,183957,36,26060,4775,2729
22/4/2020,83868,845727,141540,187327,15,29314,5505,3370
23/4/2020,83884,878911,146708,189973,16,33184,5168,2646
24/4/2020,83899,912662,151689,192994,15,33751,4981,3021
25/4/2020,83909,944234,155453,195351,10,31572,3764,2357
26/4/2020,83912,971078,158926,197675,3,26844,3473,2324
27/4/2020,83918,994265,163630,199414,6,23187,4704,1739
28/4/2020,83940,1018926,168357,201505,22,24661,4727,2091
29/4/2020,83944,1046737,173807,203591,4,27811,5450,2086
30/4/2020,83956,1076224,178771,205463,12,29487,4964,1872
1/5/2020,83959,1110464,183501,207428,3,34240,4730,1965
2/5/2020,83959,1138228,186731,209328,0,27764,3230,1900
3/5/2020,83964,1162685,189708,210717,5,24457,2977,1389
4/5/2020,83966,1186067,193091,211938,2,23382,3383,1221
5/5/2020,83968,1210577,196780,213013,2,24510,3689,1075
6/5/2020,83970,1235666,200616,214457,2,25089,3836,1444
7/5/2020,83975,1263402,204387,215858,5,27736,3771,1401
8/5/2020,83976,1290151,207439,217185,1,26749,3052,1327
9/5/2020,83990,1315099,209589,218268,14,24948,2150,1083
10/5/2020,84010,1333970,211911,219070,20,18871,2322,802
11/5/2020,84011,1353397,215500,219814,1,19427,3589,744
12/5/2020,84018,1376122,218895,221216,7,22725,3395,1402
13/5/2020,84024,1397085,222195,222104,6,20963,3300,888
14/5/2020,84029,1424243,224813,223096,5,27158,2618,992
15/5/2020,84038,1449498,227334,223885,9,25255,2521,789
16/5/2020,84044,1473514,229406,224760,6,24016,2072,875
17/5/2020,84054,1491829,231232,225435,10,18315,1826,675
18/5/2020,84063,1513816,233809,225886,9,21987,2577,451
19/5/2020,84063,1534871,236867,226699,0,21055,3058,813
20/5/2020,84063,1557933,239579,227364,0,23062,2712,665
21/5/2020,84063,1583798,242133,228006,0,25865,2554,642
22/5/2020,84081,1607109,244174,228658,18,23311,2041,652
23/5/2020,84084,1628212,245682,229327,3,21103,1508,669
24/5/2020,84095,1648158,247037,229858,11,19946,1355,531
25/5/2020,84102,1666505,248650,230158,7,18347,1613,300
26/5/2020,84103,1685956,250309,230555,1,19451,1659,397
27/5/2020,84106,1704489,252118,231139,3,18533,1809,584
28/5/2020,84106,1727357,253854,231732,0,22868,1736,593
29/5/2020,84123,1751612,255362,232248,17,24255,1508,516
30/5/2020,84128,1775428,256469,232664,5,23816,1107,416
31/5/2020,84146,1794465,257539,232997,18,19037,1070,333
1/6/2020,84154,1811655,258983,233197,8,17190,1444,200
2/6/2020,84161,1833141,260453,233515,7,21486,1470,318
3/6/2020,84160,1853068,261802,233836,-1,19927,1349,321
4/6/2020,84171,1874451,263040,234013,11,21383,1238,177
5/6/2020,84177,1899995,264150,234531,6,25544,1110,518
6/6/2020,84186,1921235,264944,234801,9,21240,794,270
7/6/2020,84191,1938921,265662,234998,5,17686,718,197
8/6/2020,84195,1956401,266756,235278,4,17480,1094,280
9/6/2020,84198,1974701,267915,235561,3,18300,1159,283
10/6/2020,84209,1995914,269101,235763,11,21213,1186,202
11/6/2020,84216,2018815,270108,236142,7,22901,1007,379
12/6/2020,84228,2043703,271162,236305,12,24888,1054,163
13/6/2020,84286,2068887,272050,236651,58,25184,888,346
14/6/2020,84335,2087943,272857,236989,49,19056,807,338
15/6/2020,84378,2107447,273888,237290,43,19504,1031,301
16/6/2020,84422,2131024,274971,237500,44,23577,1083,210
17/6/2020,84458,2157676,275970,237828,36,26652,999,328
18/6/2020,84494,2185550,276990,238159,36,27874,1020,331
19/6/2020,84494,2216739,277974,238011,0,31189,984,-148
20/6/2020,84553,2248483,278640,238275,59,31744,666,264
21/6/2020,84572,2274194,279264,238499,19,25711,624,224
22/6/2020,84624,2305200,280156,238720,52,31006,892,221
23/6/2020,84653,2341372,281038,238833,29,36172,882,113
24/6/2020,84673,2375813,281815,239410,20,34441,777,577
25/6/2020,84701,2416165,282512,239706,28,40352,697,296
26/6/2020,84725,2461586,283151,239961,24,45421,639,255
27/6/2020,84743,2502740,283785,240136,18,41154,634,175
28/6/2020,84757,2543302,284192,240310,14,40562,407,174
29/6/2020,84780,2583422,284812,240436,23,40120,620,126
30/6/2020,84785,2629439,285216,240578,5,46017,404,142
1/7/2020,84816,2681029,285279,240760,31,51590,63,182
2/7/2020,84830,2736658,285285,240961,14,55629,6,201
3/7/2020,84838,2788223,285787,241184,8,51565,502,223
4/7/2020,84857,2833945,286412,241419,19,45722,625,235
5/7/2020,84871,2883931,286931,241611,14,49986,519,192
6/7/2020,84889,2927440,287290,241819,18,43509,359,208
7/7/2020,84917,2988283,287874,241956,28,60843,584,137
8/7/2020,84950,3048149,288511,242149,33,59866,637,193
9/7/2020,84992,3110715,289154,242363,42,62566,643,214
10/7/2020,84992,3178541,289678,242639,0,67826,524,276
11/7/2020,85071,3239445,290504,242827,79,60904,826,188
12/7/2020,85117,3298169,291154,243061,46,58724,650,234
13/7/2020,85117,3356407,291691,243230,0,58238,537,169
14/7/2020,85226,3424029,292931,243344,109,67622,1240,114
15/7/2020,85246,3492184,293469,243506,20,68155,538,162
16/7/2020,85327,3568772,294116,243736,81,76588,647,230
17/7/2020,85402,3640660,294803,243967,75,71888,687,231
18/7/2020,85418,3703105,295632,244216,16,62445,829,249
19/7/2020,85503,3763696,296358,244434,85,60591,726,218
20/7/2020,85622,3825215,296944,244624,119,61519,586,190
21/7/2020,85708,3889282,297389,244752,86,64067,445,128
22/7/2020,85906,3961257,297952,245032,198,71975,563,280
23/7/2020,86045,4029856,298731,245338,139,68599,779,306
24/7/2020,86202,4103287,299500,245590,157,73431,769,252
25/7/2020,86381,4168436,300270,245864,179,65149,770,274
26/7/2020,86570,4223184,301020,246118,189,54748,750,254
27/7/2020,86783,4279307,301708,246286,213,56123,688,168
28/7/2020,86990,4344986,302261,246488,207,65679,553,202
29/7/2020,87213,4416810,303063,246776,223,71824,802,288
30/7/2020,87489,4484576,303910,247158,276,67766,847,382
31/7/2020,87655,4553337,304793,247537,166,68761,883,379
1/8/2020,87827,4610068,305562,247832,172,56731,769,295
2/8/2020,87985,4656256,306309,248070,158,46188,747,238
3/8/2020,88099,4700961,307251,248229,114,44705,942,159
4/8/2020,88206,4758265,307926,248419,107,57304,675,190
5/8/2020,88328,4812824,308832,248803,122,54559,906,384
6/8/2020,88460,4872195,309796,249204,132,59371,964,401
7/8/2020,88580,4930744,310696,249756,120,58549,900,552
8/8/2020,88672,4984863,311461,250103,92,54119,765,347
9/8/2020,88793,5031263,312574,250566,121,46400,1113,463
10/8/2020,88906,5079912,313392,250825,113,48649,818,259
11/8/2020,88958,5126858,314542,251237,52,46946,1150,412
12/8/2020,89045,5183757,315581,251713,87,56899,1039,476
13/8/2020,89144,5235677,316729,252235,99,51920,1148,522
14/8/2020,89214,5300376,318190,252809,70,64699,1461,574
15/8/2020,89279,5347012,319232,253438,65,46636,1042,629
16/8/2020,89375,5387890,320343,253915,96,40878,1111,477
17/8/2020,89441,5424646,321064,254235,66,36756,721,320
18/8/2020,89494,5469674,322177,254636,53,45028,1113,401
19/8/2020,89527,5517381,323008,255278,33,47707,831,642
20/8/2020,89567,5561286,324203,256118,40,43905,1195,840
21/8/2020,89616,5609976,325263,257065,49,48690,1060,947
22/8/2020,89654,5653277,326595,258136,38,43301,1332,1071
23/8/2020,89695,5687713,327643,259345,41,34436,1048,1209
24/8/2020,89718,5724133,328620,260298,23,36420,977,953
25/8/2020,89752,5764251,329821,261174,34,40118,1201,876
26/8/2020,89784,5809898,330967,262540,32,45647,1146,1366
27/8/2020,89814,5855060,332509,263949,30,45162,1542,1409
28/8/2020,89836,5902010,333806,265409,22,46950,1297,1460
29/8/2020,89863,5947311,334916,266853,27,45301,1110,1444
30/8/2020,89895,5981967,336668,268218,32,34656,1752,1365
31/8/2020,89914,6017097,338083,269214,19,35130,1415,996
1/9/2020,89933,6058945,339415,270189,19,41848,1332,975
2/9/2020,89953,6100018,340929,271515,20,41073,1514,1326
3/9/2020,89986,6143817,342708,272912,33,43799,1779,1397
4/9/2020,90008,6193992,344686,274644,22,50175,1978,1732
5/9/2020,90025,6237103,346513,276338,17,43111,1827,1694
6/9/2020,90058,6268531,349500,277634,33,31428,2987,1296
7/9/2020,90078,6291963,352451,278784,20,23432,2951,1150
8/9/2020,90087,6319097,354932,280153,9,27134,2481,1369
9/9/2020,90100,6353027,357613,281583,13,33930,2681,1430
10/9/2020,90127,6389235,360544,283180,27,36208,2931,1597
11/9/2020,90145,6436624,364088,284796,18,47389,3544,1616
12/9/2020,90168,6477526,367592,286297,23,40902,3504,1501
13/9/2020,90197,6511799,370930,287753,29,34273,3338,1456
14/9/2020,90219,6545665,373555,288761,22,33866,2625,1008
15/9/2020,90235,6585107,376670,289990,16,39442,3115,1229
16/9/2020,90253,6623637,380677,291442,18,38530,4007,1452
17/9/2020,90294,6668590,384087,293025,41,44953,3410,1583
18/9/2020,90311,6717565,388416,294932,17,48975,4329,1907
19/9/2020,90334,6759863,392845,296569,23,42298,4429,1637
20/9/2020,90369,6798261,396744,298156,35,38398,3899,1587
21/9/2020,90381,6849919,401122,299506,12,51658,4378,1350
22/9/2020,90399,6889482,406058,300897,18,39563,4936,1391
23/9/2020,90409,6928137,412245,302537,10,38655,6187,1640
24/9/2020,90424,6974336,418889,304323,15,46199,6644,1786
25/9/2020,90441,7022042,425767,306235,17,47706,6878,1912
26/9/2020,90456,7066289,431817,308104,15,44247,6050,1869
27/9/2020,90483,7103508,437517,309870,27,37219,5700,1766
28/9/2020,90505,7135817,441573,311364,22,32309,4056,1494
29/9/2020,90528,7178637,448729,313011,23,42820,7156,1647
30/9/2020,90545,7219993,455846,314861,17,41356,7117,1850
1/10/2020,90567,7265472,462775,317409,22,45479,6929,2548
2/10/2020,90584,7319889,469769,319908,17,54417,6994,2499
3/10/2020,90604,7368376,482654,322751,20,48487,12885,2843
4/10/2020,90629,7404432,505619,325329,25,36056,22965,2578
5/10/2020,90652,7443292,518222,327586,23,38860,12603,2257
6/10/2020,90667,7488142,532779,330263,15,44850,14557,2677
7/10/2020,90687,7538997,546952,333940,20,50855,14173,3677
8/10/2020,90728,7597310,564502,338398,41,58313,17550,4458
9/10/2020,90751,7653210,578390,343770,23,55900,13888,5372
10/10/2020,90778,7707657,593565,349494,27,54447,15175,5724
11/10/2020,90812,7753980,606447,354950,34,46323,12882,5456
12/10/2020,90830,7795110,620458,359569,18,41130,14011,4619
13/10/2020,90858,7846968,637708,365467,28,51858,17250,5898
14/10/2020,90869,7906419,657459,372799,11,59451,19751,7332
15/10/2020,90905,7970877,676455,381602,36,64458,18996,8803
16/10/2020,90925,8039443,692112,391611,20,68566,15657,10009
17/10/2020,90955,8096194,708298,402536,30,56751,16186,10925
18/10/2020,90972,8145485,725292,414241,17,49291,16994,11705
19/10/2020,91006,8212380,744122,423578,34,66895,18830,9337
20/10/2020,91022,8273792,765487,434449,16,61412,21365,10871
21/10/2020,91044,8336799,792194,449648,22,63007,26707,15199
22/10/2020,91073,8412298,813451,465726,29,75499,21257,16078
23/10/2020,91108,8493414,834010,484869,35,81116,20559,19143
24/10/2020,91128,8576057,857043,504509,20,82643,23033,19640
25/10/2020,91151,8637806,876840,525782,23,61749,19797,21273
26/10/2020,91175,8704274,897740,542789,24,66468,20900,17007
27/10/2020,91222,8780512,920664,564778,47,76238,22924,21989
28/10/2020,91271,8859310,945378,589766,49,78798,24714,24988
29/10/2020,91299,8949782,968456,616595,28,90472,23078,26829
30/10/2020,91339,9048263,992874,647674,40,98481,24418,31079
31/10/2020,91366,9137194,1014793,679430,27,88931,21919,31756
1/11/2020,91397,9241521,1038054,709335,31,104327,23261,29905
2/11/2020,91452,9324616,1057021,731588,55,83095,18967,22253
3/11/2020,91478,9450988,1077099,759829,26,126372,20078,28241
4/11/2020,91509,9554518,1102305,790377,31,103530,25206,30548
5/11/2020,91552,9682196,1126469,824879,43,127678,24164,34502
6/11/2020,91591,9809038,1149791,862681,39,126842,23322,37802
7/11/2020,91622,9937298,1174770,902490,31,128260,24979,39809
8/11/2020,91665,10047724,1195350,935104,43,110426,20580,32614
9/11/2020,91693,10169076,1216747,960373,28,121352,21397,25269
10/11/2020,91719,10308385,1237198,995463,26,139309,20451,35090
11/11/2020,91752,10454619,1260198,1028424,33,146234,23000,32961
12/11/2020,91783,10616251,1293715,1066401,31,161632,33517,37977
13/11/2020,91807,10795270,1321031,1107303,24,179019,27316,40902
14/11/2020,91828,10963295,1347907,1144552,21,168025,26876,37249
15/11/2020,91850,11099318,1372884,1178529,22,136023,24977,33977
16/11/2020,91872,11258134,1394299,1205881,22,158816,21415,27352
17/11/2020,91885,11419139,1414359,1238072,13,161005,20060,32191
18/11/2020,91906,11591694,1434004,1272352,21,172555,19645,34280
19/11/2020,91935,11780990,1456940,1308528,29,189296,22936,36176
20/11/2020,91977,11977440,1477214,1345767,42,196450,20274,37239
21/11/2020,92037,12157737,1497135,1380531,60,180297,19921,34764
22/11/2020,92116,12304199,1515802,1408868,79,146462,18667,28337
23/11/2020,92211,12472178,1531267,1431795,95,167979,15465,22927
24/11/2020,92296,12646575,1542611,1455022,85,174397,11344,23227
25/11/2020,92402,12830170,1560872,1480874,106,183595,18261,25852
26/11/2020,92488,12944048,1578429,1509875,86,113878,17557,29001
27/11/2020,92586,13148135,1593250,1538217,98,204087,14821,28342
28/11/2020,92681,13303242,1609141,1564532,95,155107,15891,26315
29/11/2020,92814,13442656,1621305,1585178,133,139414,12164,20646
30/11/2020,92902,13599496,1633733,1601554,88,156840,12428,16376
1/12/2020,92993,13783773,1647230,1620901,91,184277,13497,19347
2/12/2020,93113,13985434,1663467,1641610,120,201661,16237,20709
3/12/2020,93221,14205041,1678418,1664829,108,219607,14951,23219
4/12/2020,93348,14434647,1694800,1688939,127,229606,16382,24110
5/12/2020,93467,14650139,1710379,1709991,119,215492,15579,21052
6/12/2020,93577,14830883,1727751,1728878,110,180744,17372,18887
7/12/2020,93670,15020042,1742525,1742557,93,189159,14774,13679
8/12/2020,93782,15239976,1754911,1757394,112,219934,12386,14837
9/12/2020,93898,15463239,1771545,1770149,116,223263,16634,12755
10/12/2020,94025,15689923,1792611,1787147,127,226684,21066,16998
11/12/2020,94124,15924026,1814395,1805873,99,234103,21784,18726
12/12/2020,94217,16143219,1835949,1825775,93,219193,21554,19902
13/12/2020,94328,16334361,1854490,1843712,111,191142,18541,17937
14/12/2020,94427,16527207,1874867,1855737,99,192846,20377,12025
15/12/2020,94537,16725973,1893436,1870576,110,198766,18569,14839
16/12/2020,94626,16973376,1918736,1888144,89,247403,25300,17568
17/12/2020,94734,17209587,1954268,1906377,108,236211,35532,18233
18/12/2020,94821,17459296,1982828,1921778,87,249709,28560,15401
19/12/2020,94953,17655591,2010077,1938083,132,196295,27249,16305
20/12/2020,95050,17844690,2046161,1953185,97,189099,36084,15102
21/12/2020,95150,18035209,2079678,1964054,100,190519,33517,10869
22/12/2020,95228,18230242,2116609,1977370,78,195033,36931,13316
23/12/2020,95298,18458373,2155996,1991278,70,228131,39387,13908
24/12/2020,95383,18656776,2195144,2009317,85,198403,39148,18039
25/12/2020,95460,18756360,2227947,2028354,77,99584,32803,19037
26/12/2020,95541,18982634,2262735,2038759,81,226274,34788,10405
